50.4521,3.9602,1.83,0,0,0,10:16:43
50.4521,3.9602,1.83,0,0,0,10:16:43
50.4521,3.9602,1.83,4.10,0,0,10:16:43
50.4521,3.9602,1.83,4.10,0,0,10:16:43
50.4521,3.9602,1.83,4.10,0,0,10:16:43
50.4521,3.9602,1.83,4.10,0,0,10:16:43
50.4521,3.9602,1.83,4.10,0,0,10:16:43
50.4521,3.9602,1.83,4.10,0,0,10:16:43
50.4521,3.9602,1.83,4.10,0,0,10:16:44
50.4521,3.9602,1.83,4.10,0,0,10:16:44
50.4521,3.9602,1.83,4.10,0,0,10:16:44
50.4521,3.9602,1.83,4.10,0,0,10:16:44
50.4521,3.9602,1.83,4.10,0,0,10:16:44
50.4521,3.9602,1.83,4.10,0,0,10:16:44
50.4521,3.9602,1.83,4.10,0,0,10:16:44
50.4521,3.9602,1.83,4.10,0,0,10:16:44
50.4521,3.9602,1.83,4.10,0,0,10:16:45
50.4521,3.9602,1.83,4.10,0,0,10:16:45
50.4521,3.9602,1.83,4.10,0,0,10:16:45
50.4521,3.9602,1.83,4.10,0,0,10:16:45
50.4521,3.9602,1.83,4.10,0,0,10:16:45
50.4521,3.9602,1.83,4.10,0,0,10:16:45
50.4521,3.9602,1.83,4.10,0,0,10:16:45
50.4521,3.9602,1.83,4.10,0,0,10:16:45
50.4521,3.9602,1.83,4.10,0,0,10:16:46
50.4521,3.9602,1.83,4.10,0,0,10:16:46
50.4521,3.9602,1.83,4.10,0,0,10:16:46
50.4521,3.9602,1.83,4.10,0,0,10:16:46
50.4521,3.9602,1.83,4.10,0,0,10:16:46
50.4521,3.9602,1.83,4.10,0,0,10:16:46
50.4521,3.9602,1.83,4.10,0,0,10:16:46
50.4521,3.9602,1.83,4.10,0,0,10:16:46
50.4521,3.9602,1.83,4.10,0,0,10:16:47
50.4521,3.9602,1.83,4.10,0,0,10:16:47
50.4521,3.9602,1.83,4.10,0,0,10:16:47
50.4521,3.9602,1.83,4.10,0,0,10:16:47
50.4521,3.9602,1.83,4.10,0,0,10:16:47
50.4521,3.9602,1.83,4.10,0,0,10:16:47
