50.4517,3.9598,0.81,0,0,0,8:58:32
50.4517,3.9598,0.81,0,0,0,8:58:32
50.4517,3.9598,5.48,0,0,0,8:58:35
50.4517,3.9598,5.48,0,0,0,8:58:35
50.4517,3.9599,2.65,0,0,0,8:58:36
50.4517,3.9599,2.65,0,0,0,8:58:36
50.4517,3.9599,2.85,0,0,0,8:58:37
50.4517,3.9599,2.85,0,0,0,8:58:37
50.4517,3.9599,2.35,0,0,0,8:58:38
50.4517,3.9599,2.35,0,0,0,8:58:38
50.4517,3.9599,4.82,0,0,0,8:58:39
50.4517,3.9599,4.82,0,0,0,8:58:39
50.4517,3.9599,1.57,0,0,0,8:58:40
50.4517,3.9599,1.57,0,0,0,8:58:40
50.4517,3.9599,1.00,0,0,0,8:58:41
50.4517,3.9599,1.00,0,0,0,8:58:41
50.4517,3.9599,1.54,0,0,0,8:58:42
50.4517,3.9599,1.54,0,0,0,8:58:42
50.4517,3.9599,1.41,0,0,0,8:58:43
50.4517,3.9599,1.41,0,0,0,8:58:43
50.4517,3.9599,1.33,0,0,0,8:58:44
50.4517,3.9599,1.33,0,0,0,8:58:44
50.4517,3.9599,0.35,0,0,0,8:58:45
50.4517,3.9599,0.35,0,0,0,8:58:45
50.4517,3.9599,1.00,0,0,0,8:58:46
50.4517,3.9599,1.00,0,0,0,8:58:46
50.4517,3.9599,0.94,0,0,0,8:58:47
50.4517,3.9599,0.94,0,0,0,8:58:47
50.4517,3.9599,0.61,0,0,0,8:58:48
50.4517,3.9599,0.61,0,0,0,8:58:48
50.4517,3.9599,0.30,0,0,0,8:58:49
50.4517,3.9599,0.30,0,0,0,8:58:49
50.4517,3.9599,0.52,0,0,0,8:58:50
50.4517,3.9599,0.52,0,0,0,8:58:50
50.4517,3.9599,0.46,0,0,0,8:58:51
50.4517,3.9599,0.46,0,0,0,8:58:51
50.4517,3.9599,0.50,0,0,0,8:58:52
50.4517,3.9599,0.50,0,0,0,8:58:52
50.4517,3.9599,0.26,0,0,0,8:58:53
50.4517,3.9599,0.26,0,0,0,8:58:53
50.4517,3.9599,0.30,0,0,0,8:58:54
50.4517,3.9599,0.30,0,0,0,8:58:54
50.4518,3.9595,1.22,0,0,0,9:26:1
50.4518,3.9595,1.22,0,0,0,9:26:1
50.4518,3.9596,2.82,0,0,0,9:26:2
50.4518,3.9596,2.82,0,0,0,9:26:2
50.4518,3.9596,1.00,0,0,0,9:26:3
50.4518,3.9596,1.00,0,0,0,9:26:3
50.4518,3.9596,2.46,0,0,0,9:26:4
50.4518,3.9596,2.46,0,0,0,9:26:4
50.4518,3.9596,2.46,0,0,0,9:26:5
50.4518,3.9596,2.46,0,0,0,9:26:5
50.4518,3.9596,2.46,0,0,0,9:26:5
50.4518,3.9596,2.46,0,0,0,9:26:6
50.4518,3.9596,2.46,0,0,0,9:26:6
50.4518,3.9596,2.46,0,0,0,9:26:6
50.4518,3.9596,2.46,0,0,0,9:26:7
50.4518,3.9596,2.46,0,0,0,9:26:7
50.4518,3.9596,2.46,0,0,0,9:26:7
50.4518,3.9596,2.46,0,0,0,9:26:8
50.4518,3.9596,2.46,0,0,0,9:26:8
50.4518,3.9596,2.46,0,0,0,9:26:8
50.4518,3.9596,2.46,0,0,0,9:26:7
50.4518,3.9596,2.46,0,0,0,9:26:7
50.4518,3.9596,2.46,0,0,0,9:26:7
50.4519,3.9597,0.24,0,0,0,9:26:8
50.4519,3.9597,0.24,0,0,0,9:26:8
50.4519,3.9597,0.31,0,0,0,9:26:9
50.4519,3.9597,0.31,0,0,0,9:26:9
50.4519,3.9597,0.41,0,0,0,9:26:10
50.4519,3.9597,0.41,0,0,0,9:26:10
50.4519,3.9597,0.43,0,0,0,9:26:11
50.4519,3.9597,0.43,0,0,0,9:26:11
50.4519,3.9597,0.19,0,0,0,9:26:12
50.4519,3.9597,0.19,0,0,0,9:26:12
50.4519,3.9597,3.20,0,0,0,9:26:13
50.4519,3.9597,3.20,0,0,0,9:26:13
50.4519,3.9597,1.26,0,0,0,9:26:14
50.4519,3.9597,1.26,0,0,0,9:26:14
50.4519,3.9597,0.74,0,0,0,9:26:15
50.4519,3.9597,0.74,0,0,0,9:26:15
50.4519,3.9597,0.74,0,0,0,9:26:16
50.4519,3.9597,0.74,0,0,0,9:26:16
50.4519,3.9597,0.74,0,0,0,9:26:16
50.4519,3.9597,0.74,0,0,0,9:26:17
50.4519,3.9597,0.74,0,0,0,9:26:17
50.4519,3.9597,0.74,0,0,0,9:26:17
50.4519,3.9597,0.74,0,0,0,9:26:18
50.4519,3.9597,0.74,0,0,0,9:26:18
50.4519,3.9597,0.74,0,0,0,9:26:18
50.4519,3.9598,1.93,0,0,0,9:26:19
50.4519,3.9598,1.93,0,0,0,9:26:19
50.4519,3.9598,3.52,0,0,0,9:26:20
50.4519,3.9598,3.52,0,0,0,9:26:20
50.4519,3.9598,3.52,0,0,0,9:26:21
50.4519,3.9598,3.52,0,0,0,9:26:21
50.4519,3.9598,3.52,0,0,0,9:26:21
50.4519,3.9598,1.87,0,0,0,9:26:22
50.4519,3.9598,1.87,0,0,0,9:26:22
50.4519,3.9598,0.96,0,0,0,9:26:23
50.4519,3.9598,0.96,0,0,0,9:26:23
50.4518,3.9598,0.48,0,0,0,9:26:24
50.4518,3.9598,0.48,0,0,0,9:26:24
50.4518,3.9598,1.98,0,0,0,9:26:25
50.4518,3.9598,1.98,0,0,0,9:26:25
50.4518,3.9598,7.70,0,0,0,9:26:26
50.4518,3.9598,7.70,0,0,0,9:26:26
50.4518,3.9598,7.70,0,0,0,9:26:27
50.4518,3.9598,7.70,0,0,0,9:26:27
50.4518,3.9598,7.70,0,0,0,9:26:27
50.4518,3.9598,7.70,0,0,0,9:26:28
50.4518,3.9598,7.70,0,0,0,9:26:28
50.4518,3.9598,7.70,0,0,0,9:26:28
50.4518,3.9598,7.70,0,0,0,9:26:29
50.4518,3.9598,7.70,0,0,0,9:26:29
50.4518,3.9598,7.70,0,0,0,9:26:29
50.4518,3.9598,7.70,0,0,0,9:26:30
50.4518,3.9598,7.70,0,0,0,9:26:30
50.4518,3.9598,7.70,0,0,0,9:26:30
50.4518,3.9598,7.70,0,0,0,9:26:31
50.4518,3.9598,7.70,0,0,0,9:26:31
50.4518,3.9598,7.70,0,0,0,9:26:31
