50.452858,3.961165,49.39,9.60,10:54
50.452206,3.958714,3.91,9.60,10:55
50.452179,3.958785,1.39,5.20,10:55
50.452160,3.958814,4.96,4.70,10:55
50.452141,3.958856,4.19,5.30,10:55
50.452137,3.958920,3.87,6.20,10:55
50.452278,3.959111,10.87,6.70,10:55
50.452297,3.959133,12.20,5.30,10:55
50.452297,3.959178,11.43,6.10,10:55
50.451973,3.959718,1.33,7.50,10:56
50.451973,3.959759,1.06,-2.90,10:56
50.451984,3.959795,2.67,-3.50,10:56
50.451984,3.959865,3.56,-4.00,10:56
50.452003,3.959897,2.39,-5.30,10:56
50.452015,3.959930,4.72,-5.50,10:56
50.452034,3.959896,1.39,-6.10,10:56
50.452068,3.959900,3.06,-6.90,10:56
50.452042,3.959868,2.28,-7.50,10:56
50.452019,3.959861,4.00,-7.50,10:56
50.451969,3.959857,8.35,-7.40,10:56
50.451885,3.959850,16.13,-7.40,10:56
50.451912,3.959840,8.70,-7.30,10:56
50.451900,3.959885,7.33,-7.80,10:56
50.451912,3.959831,4.15,-8.10,10:56
50.451874,3.959780,7.20,-8.40,10:56
50.451859,3.959749,7.59,-8.40,10:56
50.451832,3.959723,7.98,-8.40,10:56
50.451817,3.959655,10.32,-8.40,10:56
50.451805,3.959603,11.11,-8.40,10:56
50.451778,3.959597,9.61,-8.30,10:56
50.451767,3.959563,10.30,-8.40,10:56
50.451870,3.959466,1.48,-8.40,10:57
50.451889,3.959496,2.48,-14.80,10:57
50.451916,3.959498,3.15,-16.20,10:57
50.451927,3.959455,2.80,-17.20,10:57
50.451912,3.959414,6.63,-17.40,10:57
50.451897,3.959385,7.37,-18.10,10:57
50.451859,3.959378,5.30,-18.10,10:57
50.451820,3.959353,6.30,-18.90,10:57
50.451782,3.959310,7.13,-19.10,10:57
50.451756,3.959276,6.63,-19.70,10:57
50.451725,3.959225,8.82,-20.00,10:57
50.451698,3.959224,10.85,-20.10,10:57
50.451672,3.959242,13.22,-20.20,10:57
50.451656,3.959202,9.50,-20.20,10:57
50.451771,3.959273,1.15,-20.40,10:57
50.451809,3.959362,6.13,-17.30,10:57
50.452251,3.959945,9.33,-17.50,10:58
50.452229,3.959954,8.69,-16.60,10:58
50.452187,3.959929,5.91,-16.10,10:58
50.452145,3.959895,2.20,-14.50,10:58
50.452095,3.959872,6.63,-13.90,10:58
50.452065,3.959848,6.65,-13.60,10:58
50.452034,3.959816,8.83,-13.40,10:58
50.452011,3.959796,9.09,-13.10,10:58
50.451973,3.959765,11.57,-12.90,10:58
50.451881,3.959738,9.22,-12.50,10:58
50.451889,3.959702,2.33,-12.60,10:58
50.451912,3.959666,0.20,-11.90,10:58
50.451916,3.959628,2.26,-12.10,10:58
50.451931,3.959584,5.09,-12.30,10:58
50.451885,3.959605,4.44,-12.00,10:58
50.451870,3.959571,6.67,-12.30,10:58
50.451874,3.959526,7.43,-12.30,10:58
50.451889,3.959487,6.85,-12.50,10:58
50.451916,3.959451,5.78,-12.20,10:58
50.451954,3.959377,8.22,-12.20,10:58
50.451996,3.959332,8.54,-12.50,10:58
50.452030,3.959260,12.30,-12.70,10:58
50.452045,3.959211,13.98,-12.80,10:58
50.451946,3.958641,7.67,-12.30,10:59
50.451923,3.958698,6.06,-11.30,10:59
50.451885,3.958792,5.98,-11.20,10:59
50.451862,3.958889,7.54,-10.70,10:59
50.451847,3.958973,6.85,-10.10,10:59
50.451828,3.959050,7.02,-9.80,10:59
50.451828,3.959119,6.00,-9.10,10:59
50.451836,3.959194,6.87,-8.70,10:59
50.451881,3.959274,10.83,-8.30,10:59
50.451885,3.959321,8.28,-8.30,10:59
50.451897,3.959362,7.19,-8.20,10:59
50.451904,3.959411,3.04,-7.70,10:59
50.451935,3.959459,3.72,-7.10,10:59
50.451954,3.959498,5.32,-6.80,10:59
50.451984,3.959539,7.59,-6.70,10:59
50.452003,3.959596,6.85,-6.70,10:59
50.452019,3.959642,5.04,-5.80,10:59
50.452015,3.959696,2.93,-5.00,10:59
50.452015,3.959745,1.80,-4.70,10:59
50.452042,3.959771,0.93,-4.40,10:59
50.452065,3.959772,2.41,-3.50,10:59
50.452095,3.959809,3.69,-3.50,10:59
50.452068,3.959777,5.57,-4.60,11:00
50.452042,3.959773,7.59,-4.50,11:00
50.452011,3.959797,9.65,-4.50,11:00
50.452011,3.959751,6.09,-4.40,11:00
50.452042,3.959706,4.52,-5.10,11:00
50.452091,3.959721,2.65,-5.60,11:00
50.452122,3.959680,2.24,-6.20,11:00
50.452156,3.959672,2.94,-7.00,11:00
50.452221,3.959709,8.22,-7.70,11:00
50.452251,3.959726,5.74,-8.20,11:00
50.452271,3.959747,6.57,-8.10,11:00
50.452286,3.959786,8.35,-7.90,11:00
50.452305,3.959824,6.59,-8.10,11:00
50.452339,3.959848,7.76,-8.00,11:00
50.452366,3.959876,8.46,-8.90,11:00
50.452347,3.959848,3.37,-11.30,11:00
50.452332,3.959878,4.48,-12.90,11:00
50.452328,3.959840,3.72,-12.70,11:00
50.452366,3.959844,2.43,-11.50,11:00
50.452343,3.959873,3.15,-11.00,11:00
50.452316,3.959890,5.35,-12.30,11:00
50.452320,3.959973,7.91,-14.20,11:00
50.452301,3.959998,6.95,-16.20,11:00
50.452297,3.959957,3.26,-18.70,11:00
50.452297,3.959905,2.37,-20.60,11:00
50.452286,3.959865,5.35,-20.20,11:00
50.452278,3.959825,6.41,-21.50,11:00
50.452282,3.959780,4.63,-23.00,11:00
50.452297,3.959749,1.78,-25.70,11:01
50.452324,3.959699,3.98,-29.00,11:01
50.452358,3.959711,5.56,-30.90,11:01
50.452438,3.959687,6.69,-32.90,11:01
50.452423,3.959626,1.89,-37.60,11:01
50.452400,3.959605,0.93,-39.20,11:01
50.452374,3.959593,1.33,-39.50,11:01
50.452332,3.959575,1.48,-40.40,11:01
50.452301,3.959566,1.00,-41.20,11:01
50.452312,3.959604,5.65,-41.30,11:01
50.452286,3.959591,1.22,-40.90,11:01
50.452274,3.959639,4.41,-40.10,11:01
50.452248,3.959641,6.69,-39.80,11:01
50.452221,3.959599,2.48,-39.00,11:01
50.452198,3.959596,2.57,-38.20,11:01
50.452244,3.959553,1.00,-38.10,11:01
50.452263,3.959509,1.83,-39.80,11:01
50.452309,3.959218,13.85,-40.60,11:01
50.452351,3.958978,15.35,-44.30,11:01
50.452492,3.958901,14.35,-46.90,11:01
50.452625,3.958769,14.87,-50.40,11:01
50.452782,3.958675,16.02,-54.30,11:01
50.453442,3.958243,9.63,-58.10,11:02
50.453327,3.958357,7.48,-164.60,11:02
50.453236,3.958445,7.54,-166.90,11:02
50.453152,3.958493,8.37,-168.30,11:02
50.453091,3.958531,5.67,-169.10,11:02
50.453018,3.958552,8.37,-169.70,11:02
50.452991,3.958567,6.52,-169.60,11:02
50.452961,3.958582,6.06,-169.50,11:02
50.452927,3.958626,3.30,-168.80,11:02
50.452896,3.958644,5.28,-167.80,11:02
50.452877,3.958667,3.13,-167.20,11:02
50.452869,3.958708,1.76,-166.60,11:02
50.452847,3.958774,3.33,-164.80,11:02
50.452831,3.958802,2.69,-163.90,11:02
50.452808,3.958839,3.20,-162.80,11:02
50.452808,3.958796,2.78,-161.60,11:02
50.452824,3.958718,6.28,-160.30,11:02
50.452850,3.958668,3.96,-159.10,11:02
50.452885,3.958566,8.56,-158.70,11:02
50.452911,3.958474,12.13,-158.40,11:02
50.452930,3.958395,13.50,-158.10,11:02
50.452820,3.958631,2.63,-154.90,11:02
50.452759,3.958764,0.78,-165.20,11:02
50.452732,3.958847,2.24,-166.10,11:02
50.452698,3.958898,0.93,-165.40,11:02
50.452682,3.958934,1.39,-164.90,11:02
50.452660,3.958949,2.74,-163.90,11:02
50.452614,3.958939,8.02,-161.90,11:02
50.452599,3.958983,3.57,-160.70,11:02
50.452576,3.959011,1.89,-159.70,11:02
50.452568,3.959055,0.61,-159.20,11:02
50.452576,3.959000,4.89,-157.60,11:02
50.452610,3.958954,5.07,-151.10,11:03
50.452629,3.958905,4.19,-154.50,11:03
50.452644,3.958848,7.70,-154.30,11:03
50.452675,3.958832,7.04,-154.20,11:03
50.452644,3.958853,4.39,-154.20,11:03
